gs_name	gene_symbol	human_ortholog
old_vs_young_up	Aldoa	ALDOA
old_vs_young_up	Gapdh	GAPDH
old_vs_young_up	Gm10076	NA
old_vs_young_up	H3f3b	H3-3B
old_vs_young_up	H3f3b	H3-5
old_vs_young_up	Hsp90ab1	HSP90AB1
old_vs_young_up	Mif	MIF
old_vs_young_up	Pkm	PKM
old_vs_young_up	Ppia	PPIA
old_vs_young_up	Ppia	PPIAL4G
old_vs_young_up	Ppia	PPIAL4D
old_vs_young_up	Ppia	PPIAL4A
old_vs_young_up	Ppia	PPIAL4C
old_vs_young_up	Ppia	PPIAL4H
old_vs_young_up	Ppia	PPIAL4E
old_vs_young_up	Ppia	PPIAL4F
old_vs_young_up	Ptma	PTMA
old_vs_young_up	Rpl27	RPL27
old_vs_young_up	S100a4	S100A4
old_vs_young_up	Serbp1	SERBP1
old_vs_young_down	Abi3bp	ABI3BP
old_vs_young_down	Ace	ACE
old_vs_young_down	Ackr3	ACKR3
old_vs_young_down	Adamts1	ADAMTS1
old_vs_young_down	Adamts2	ADAMTS2
old_vs_young_down	Adamts5	ADAMTS5
old_vs_young_down	Adamtsl1	ADAMTSL1
old_vs_young_down	Adgrd1	ADGRD1
old_vs_young_down	Adm	ADM
old_vs_young_down	Aebp1	AEBP1
old_vs_young_down	Akr1c18	NA
old_vs_young_down	Aldh1a3	ALDH1A3
old_vs_young_down	Angptl2	ANGPTL2
old_vs_young_down	Antxr1	ANTXR1
old_vs_young_down	Anxa1	ANXA1
old_vs_young_down	Anxa3	ANXA3
old_vs_young_down	Apod	APOD
old_vs_young_down	App	APP
old_vs_young_down	Ar	AR
old_vs_young_down	Arf4	ARF4
old_vs_young_down	Aspn	ASPN
old_vs_young_down	Atf3	ATF3
old_vs_young_down	Atf5	ATF5
old_vs_young_down	Axl	AXL
old_vs_young_down	Basp1	BASP1
old_vs_young_down	Bicc1	BICC1
old_vs_young_down	Bmp1	BMP1
old_vs_young_down	C1ra	C1R
old_vs_young_down	C1rb	C1R
old_vs_young_down	C1s1	C1S
old_vs_young_down	C3	C3
old_vs_young_down	C4b	C4B
old_vs_young_down	C4b	C4A
old_vs_young_down	Cadm3	CADM3
old_vs_young_down	Cavin1	CAVIN1
old_vs_young_down	Cavin3	CAVIN3
old_vs_young_down	Ccdc80	CCDC80
old_vs_young_down	Ccl11	CCL11
old_vs_young_down	Ccl2	CCL2
old_vs_young_down	Ccl7	CCL7
old_vs_young_down	Ccn1	CCN1
old_vs_young_down	Cd248	CD248
old_vs_young_down	Cd302	NA
old_vs_young_down	Cd34	CD34
old_vs_young_down	Cd47	CD47
old_vs_young_down	Cd55	CD55
old_vs_young_down	Cd81	CD81
old_vs_young_down	Cdkn1c	CDKN1C
old_vs_young_down	Cebpd	CEBPD
old_vs_young_down	Cfb	CFB
old_vs_young_down	Cfh	NA
old_vs_young_down	Ckb	CKB
old_vs_young_down	Clec3b	CLEC3B
old_vs_young_down	Cmah	NA
old_vs_young_down	Col14a1	COL14A1
old_vs_young_down	Col1a1	COL1A1
old_vs_young_down	Col1a2	COL1A2
old_vs_young_down	Col3a1	COL3A1
old_vs_young_down	Col5a1	COL5A1
old_vs_young_down	Col5a2	COL5A2
old_vs_young_down	Col6a1	COL6A1
old_vs_young_down	Col6a2	COL6A2
old_vs_young_down	Col6a3	COL6A3
old_vs_young_down	Creb5	CREB5
old_vs_young_down	Crip1	CRIP1
old_vs_young_down	Csf1	CSF1
old_vs_young_down	Csrp2	CSRP2
old_vs_young_down	Ctsb	CTSB
old_vs_young_down	Ctsh	CTSH
