p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio	pct.difference
1.0114629297740904e-141	-1.8134700680011355	0.56	0.754	1.8061693536975931e-137	1	mt-Co2	0.7427055702917773	-0.19399999999999995
4.1195462045791295e-140	-1.434158079798262	0.238	0.539	7.356273657516952e-136	1	mt-Nd1	0.4415584415584415	-0.30100000000000005
4.557995879311117e-138	-1.8980622606672095	0.72	0.846	8.139213241685861e-134	1	mt-Co3	0.851063829787234	-0.126
8.109864805840709e-136	-1.814958094505398	0.515	0.73	1.4481785583789755e-131	1	mt-Co1	0.7054794520547946	-0.21499999999999997
1.0444578357082625e-133	-1.8963126537727961	0.757	0.861	1.8650883572242443e-129	1	mt-Atp6	0.8792102206736353	-0.10399999999999998
1.8025532617628933e-126	-1.4148874234972184	0.298	0.564	3.218819359529999e-122	1	mt-Nd2	0.5283687943262412	-0.26599999999999996
2.397496596557943e-126	-1.7010825622348844	0.571	0.743	4.2812096724735186e-122	1	mt-Cytb	0.7685060565275907	-0.17200000000000004
3.0665374911654844e-123	-1.0408281946820857	0.105	0.388	5.475915997974206e-119	1	mt-Atp8	0.2706185567010309	-0.28300000000000003
1.7968448364664472e-116	-0.6775683165626607	0.079	0.349	3.2086258244781348e-112	1	mt-Nd4l	0.22636103151862466	-0.26999999999999996
2.214258478045767e-115	-1.1985145496034209	0.281	0.542	3.954001364246326e-111	1	mt-Nd4	0.518450184501845	-0.261
2.302453892876861e-106	-0.7798963543319274	0.106	0.366	4.1114919165102105e-102	1	mt-Nd3	0.2896174863387978	-0.26
6.797928520025093e-96	-0.5901557925379635	0.08	0.319	1.2139060958208808e-91	1	mt-Nd5	0.2507836990595611	-0.239
3.106717802691465e-80	0.293952513836893	1	0.984	5.547665980266148e-76	1	Gm42418	1.016260162601626	0.016000000000000014
1.6295894056990468e-79	0.2570300923749569	0.997	0.881	2.9099578017567877e-75	1	AY036118	1.1316685584562995	0.11599999999999999
8.250486109598975e-55	0.23835456448136894	1	0.993	1.473289304591089e-50	1	Rpl41	1.0070493454179255	0.007000000000000006
2.0167681936702825e-53	0.21722325703978385	0.999	0.997	3.601342963437024e-49	1	Tpt1	1.0020060180541626	0.0020000000000000018
3.1145327388727805e-44	-0.48685139297288726	0.137	0.293	5.561621111805124e-40	1	Neat1	0.4675767918088738	-0.15599999999999997
1.995830799749724e-39	-1.53179198362426	0.995	0.978	3.5639550591130825e-35	1	Malat1	1.0173824130879345	0.017000000000000015
1.3153268449335582e-38	0.16538353419993213	1	0.998	2.3487791469978548e-34	1	S100a6	1.002004008016032	0.0020000000000000018
2.81598089693648e-38	0.20030876042511325	0.996	0.982	5.028497087659472e-34	1	Rplp0	1.014256619144603	0.014000000000000012
1.2422899676485833e-36	0.2120029365749052	0.992	0.963	2.2183571952300752e-32	1	Rps27	1.0301142263759087	0.029000000000000026
6.900323313113505e-36	0.17105203221739984	0.998	0.992	1.2321907340226787e-31	1	Lgals1	1.0060483870967742	0.006000000000000005
1.1532335766654717e-34	0.22609103443835088	0.963	0.878	2.059329197851533e-30	1	Rps18	1.0968109339407746	0.08499999999999996
6.0371880336650104e-33	0.1798478746947927	0.998	0.988	1.0780606671715608e-28	1	Rplp1	1.0101214574898785	0.010000000000000009
9.706989890721286e-32	-0.43983047117593105	0.174	0.309	1.7333771847861e-27	1	Fosb	0.5631067961165048	-0.135
1.5311290552502971e-30	0.13915314344848584	0.998	0.975	2.7341371539604556e-26	1	Spp1	1.0235897435897436	0.02300000000000002
