p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio	pct.difference
0	0.8343903141400837	1	0.508	0	1	Hbb-bs	1.968503937007874	0.492
0	0.8111419513654528	0.979	0.535	0	1	Col3a1	1.8299065420560747	0.44399999999999995
0	0.41004053672838126	0.998	0.366	0	1	Hba-a2	2.726775956284153	0.632
0	0.34868792953479	0.97	0.303	0	1	Hbb-bt	3.201320132013201	0.667
0	0.18798062574522545	0.997	0.355	0	1	Hba-a1	2.8084507042253524	0.642
2.074006424329484e-298	-1.2641737882476742	0.144	0.537	3.70355327192516e-294	1	Gapdh	0.2681564245810055	-0.393
1.1028195108053416e-289	-1.0910105900817348	0.063	0.444	1.9693048004450985e-285	1	S100a4	0.14189189189189189	-0.381
1.665113163345838e-262	-0.7251045829617526	0.987	0.942	2.9733925757866626e-258	1	Rps8	1.0477707006369428	0.04500000000000004
1.0878527689578145e-257	-0.9615357225104791	0.085	0.444	1.9425786895279694e-253	1	Mif	0.19144144144144146	-0.359
1.979755010213111e-253	0.5042048298931414	0.951	0.619	3.5352485217375524e-249	1	Tmsb4x	1.5363489499192244	0.33199999999999996
4.860891275974893e-251	0.14094963579068054	0.996	0.885	8.6800935515083655e-247	1	Gm42418	1.1254237288135593	0.11099999999999999
1.2459222167189897e-240	0.3602742375590804	0.873	0.478	2.2248433023951e-236	1	Dcn	1.8263598326359833	0.395
5.519113522347889e-237	-0.7665918996835939	0.987	0.947	9.855481016856625e-233	1	Rpl41	1.0422386483632524	0.040000000000000036
9.001493069533151e-237	-0.8178533824163747	0.974	0.926	1.6073966174265348e-232	1	Rpl37	1.0518358531317493	0.04799999999999993
1.468587400829428e-227	0.309599814210447	0.782	0.393	2.6224565216611094e-223	1	Gsn	1.9898218829516539	0.389
3.270682637061359e-222	-0.6483337159924565	0.989	0.946	5.840457985000468e-218	1	Rpl13	1.0454545454545454	0.04300000000000004
1.6625999866555601e-211	0.29074896411109075	0.678	0.313	2.9689047961708338e-207	1	Pi16	2.1661341853035143	0.36500000000000005
2.559115569697758e-209	-0.7419865244812147	0.111	0.443	4.569812672809286e-205	1	Cald1	0.2505643340857788	-0.332
2.883249109779624e-209	-0.7494769569143032	0.973	0.92	5.148617935333475e-205	1	Fau	1.0576086956521737	0.052999999999999936
3.437497401493723e-209	0.40287526309186994	0.702	0.336	6.138339109847341e-205	1	C3	2.089285714285714	0.36599999999999994
1.1723652325506016e-205	0.651865574861042	0.427	0.176	2.093492595765609e-201	1	AY036118	2.4261363636363638	0.251
5.7987040178109036e-204	-0.699466370638202	0.972	0.92	1.035474576460493e-199	1	Rpl38	1.0565217391304347	0.051999999999999935
3.8223198467907844e-203	-0.720996058443836	0.983	0.938	6.825516550414304e-199	1	Actb	1.0479744136460556	0.04500000000000004
1.7860219743525615e-199	-0.7213037336243261	0.053	0.353	3.189299439601369e-195	1	Pgk1	0.1501416430594901	-0.3
4.4233064705892e-199	-0.6948728832932443	0.084	0.395	7.898698364531134e-195	1	Pkm	0.21265822784810126	-0.311
3.2423213788554304e-168	0.29841209290641	0.752	0.452	5.789813286222142e-164	1	Col1a1	1.663716814159292	0.3
3.2820247852412785e-168	-0.8051536147817151	0.95	0.905	5.860711659005351e-164	1	Lgals1	1.0497237569060773	0.04499999999999993
2.9665656400031354e-166	0.5260749953264932	0.745	0.513	5.297396263353599e-162	1	Fn1	1.4522417153996101	0.23199999999999998
3.858645932216923e-160	-0.6598963592118303	0.945	0.899	6.89038404115976e-156	1	Rpl34	1.0511679644048944	0.04599999999999993
